,Sr. No,Symbol,Name of the company,Last Price,Previous Close,Open,Day High,Day Low,Close Price
66,67,ANKURDRUGS,Ankur Drugs And Pharma Limited,0,0,0,0,0,0
67,68,ANSALAPI,Ansal Properties & Infrastructure Limited,16.10,15.75,16.15,16.20,15.70,16.15
68,69,ANSALHSG,Ansal Housing and Construction Limited,16.35,15.80,15.80,16.40,15.80,16.15
69,70,ANTGRAPHIC,Antarctica Limited,0.65,0.70,0.65,0.70,0.65,0.65
70,71,APARINDS,Apar Industries Limited,730.00,713.10,721.00,734.00,708.20,729.50
71,72,APCOTEXIND,Apcotex Industries Limited,534.90,533.35,532.40,535.00,530.00,531.50
72,73,APIL,Alstom Projects India Limited,0,0,0,0,0,0
73,74,APOLLOHOSP,Apollo Hospitals Enterprise Limited,991.00,966.55,972.00,"1,004.85",955.05,993.90
74,75,APOLLOTYRE,Apollo Tyres Limited,282.00,272.60,272.70,282.20,271.05,279.50
75,76,APPAPER,The Andhra Pradesh Paper Mills Limited,0,0,0,0,0,0
76,77,APTECHT,Aptech Limited,228.00,222.00,223.00,228.50,220.15,226.10
77,78,AQUA,Aqua Logistics Limited,0,0,0,0,0,0
78,79,ARCHIDPLY,Archidply Industries Limited,81.70,82.80,83.15,84.50,80.60,81.70
79,80,ARCHIES,Archies Limited,32.20,33.10,31.80,32.95,31.80,32.30
80,81,AREVAT&D,Areva T&D India Limited,0,0,0,0,0,0
81,82,ARIES,Aries Agro Limited,156.00,161.90,161.90,161.90,151.30,156.55
82,83,ARIHANT,Arihant Foundations & Housing Limited,38.55,40.00,40.40,40.40,38.55,38.55
83,84,ARL,Arvind Remedies Limited,0,0,0,0,0,0
84,85,AROGRANITE,Aro Granite Industries Limited,60.60,60.20,60.75,61.45,60.00,60.40
85,86,ARROWTEX,Arrow Textiles Limited,32.75,31.60,32.10,33.00,31.50,32.45
86,87,ARSHIYA,Arshiya International Limited,61.60,61.50,62.75,66.25,60.90,61.65
87,88,ARSSINFRA,ARSS Infrastructure Projects Limited,30.10,28.70,30.10,30.10,29.50,30.10
88,89,ARVIND,Arvind Limited,391.00,382.20,382.00,393.00,380.90,391.60
89,90,ASAHIINDIA,Asahi India Glass Limited,342.00,340.95,341.90,342.00,338.00,340.95
90,91,ASAL,Automotive Stampings and Assemblies Limited,70.55,69.15,69.70,72.90,69.70,71.00
91,92,ASHAPURMIN,Ashapura Minechem Limited,58.90,58.10,58.50,60.00,58.20,58.95
92,93,ASHCONIUL,Ashco Niulab Industries Limited,0,0,0,0,0,0
93,94,ASHIANA,Ashiana Housing Limited,152.85,150.40,149.80,154.85,149.80,153.50
94,95,ASHIMASYN,Ashima Limited,24.45,24.65,24.65,25.35,24.20,24.50
95,96,ASHOKA,Ashoka Buildcon Limited,259.00,255.75,257.90,266.00,257.00,258.70
96,97,ASHOKLEY,Ashok Leyland Limited,145.75,144.50,145.80,146.00,143.20,145.10
97,98,ASIANELEC,Asian Electronics Limited,0,0,0,0,0,0
98,99,ASIANHOTNR,Asian Hotels (North) Limited,271.15,285.00,285.05,285.05,271.15,271.70
99,100,ASIANPAINT,Asian Paints Limited,"1,286.00","1,293.60","1,300.00","1,310.00","1,280.00","1,292.35"
100,101,ASIANTILES,Asian Granito India Limited,431.00,431.55,432.70,434.75,425.10,429.75
101,102,ASIL,Amit Spinning Industries Limited,0,0,0,0,0,0
102,103,ASSAMCO,Assam Company India Limited,3.95,4.00,3.95,4.00,3.90,3.95
103,104,ASTEC,Astec LifeSciences Limited,686.30,691.55,691.50,724.95,684.35,690.20
104,105,ASTERSILI,Aster Silicates Limited,0,0,0,0,0,0
105,106,ASTRAL,Astral Poly Technik Limited,950.00,959.35,959.00,970.00,940.00,957.85
106,107,ASTRAMICRO,Astra Microwave Products Limited,95.20,93.65,94.50,95.50,93.00,95.05
107,108,ASTRAZEN,AstraZeneca Pharma India Limited,"1,195.00","1,180.05","1,190.70","1,225.00","1,183.00","1,195.00"
108,109,ATFL,Agro Tech Foods Limited,683.25,671.55,660.10,697.00,660.10,688.15
109,110,ATLANTA,Atlanta Limited,63.00,63.05,63.10,64.15,62.60,63.10
110,111,ATLASCYCLE,Atlas Cycles (Haryana) Limited,136.50,136.90,132.30,136.90,132.30,136.50
111,112,ATNINTER,ATN International Limited,0,0,0,0,0,0
112,113,ATUL,Atul Limited,"2,742.40","2,762.05","2,776.80","2,776.80","2,725.00","2,753.75"
113,114,AURIONPRO,Aurionpro Solutions Limited,202.50,199.80,203.85,206.30,198.00,202.65
114,115,AUROPHARMA,Aurobindo Pharma Limited,594.80,584.65,586.00,597.40,575.60,594.15
115,116,AUSOMENT,Ausom Enterprise Limited,67.00,68.25,68.05,68.05,66.75,67.00
116,117,AUSTRAL,Austral Coke & Projects Limited,0,0,0,0,0,0
117,118,AUTOAXLES,Automotive Axles Limited,"1,340.00","1,366.35","1,379.05","1,379.05","1,338.00","1,339.90"
118,119,AUTOIND,Autoline Industries Limited,75.50,75.70,74.05,76.80,74.00,74.45
119,120,AUTOLITIND,Autolite (India) Limited,65.00,65.00,65.10,66.05,64.50,64.90
120,121,AVANTI,Avanti Feeds Limited,0,0,0,0,0,0
121,122,AVENTIS,Aventis Pharma Limited,0,0,0,0,0,0
122,123,AVTNPL,AVT Natural Products Limited,34.30,33.95,34.25,34.50,33.50,34.35
123,124,AXISBANK,Axis Bank Limited,541.20,534.45,535.60,543.50,532.50,538.50
124,125,AXIS-IT&T,Axis-IT&T Limited,0,0,0,0,0,0
125,126,BAGFILMS,B.A.G Films and Media Limited,5.00,5.10,5.25,5.25,4.90,5.05
126,127,BAJAJ-AUTO,Bajaj Auto Limited,"2,757.50","2,732.80","2,754.95","2,775.60","2,723.00","2,758.50"
127,128,BAJAJCORP,Bajaj Corp Limited,458.00,454.20,459.80,460.00,452.70,0.00
128,129,BAJAJELEC,Bajaj Electricals Limited,577.50,563.30,580.00,588.00,570.00,0.00
129,130,BAJAJFINSV,Bajaj Finserv Limited,"6,084.95","5,826.40","5,864.00","6,097.30","5,850.00","6,071.70"
130,131,BAJAJHIND,Bajaj Hindusthan Limited,7.05,7.10,7.05,7.15,7.00,7.00
131,132,BAJAJHLDNG,Bajaj Holdings & Investment Limited,"2,804.20","2,773.80","2,780.00","2,820.00","2,771.20",0.00
132,133,BAJFINANCE,Bajaj Finance Limited,"2,120.00","2,094.75","2,107.00","2,151.90","2,103.50","2,116.00"
